Takes 1.41555285454 seconds to evaluate 500 spectra with 5000 training values.

         7793609 function calls (7741824 primitive calls) in 64.609 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.113    0.113   64.621   64.621 trs_regression.py:5(<module>)
       50    0.002    0.000   39.070    0.781 trs_regression.py:18(C_l)
      100    0.001    0.000   39.037    0.390 camb.py:395(calc_power_spectra)
      100   39.036    0.390   39.036    0.390 camb.py:383(calc_transfers)
       50    0.000    0.000   19.738    0.395 camb.py:892(get_results)
       50    0.003    0.000   19.327    0.387 camb.py:422(get_cmb_power_spectra)
        1    0.000    0.000   15.240   15.240 pyplot.py:227(show)
        1    0.000    0.000   15.240   15.240 backend_bases.py:148(__call__)
        1    0.000    0.000   15.171   15.171 backend_qt5.py:147(mainloop)
        1   13.646   13.646   15.171   15.171 {built-in method exec_}
        9    0.000    0.000    3.633    0.404 backend_agg.py:463(draw)
   2571/9    0.008    0.000    3.622    0.402 artist.py:59(draw_wrapper)
        9    0.001    0.000    3.622    0.402 figure.py:1075(draw)
       42    0.006    0.000    3.603    0.086 _base.py:2205(draw)
        3    0.000    0.000    3.154    1.051 pyplot.py:685(savefig)
        3    0.000    0.000    3.154    1.051 figure.py:1461(savefig)
        3    0.000    0.000    3.153    1.051 backend_qt5agg.py:195(print_figure)
        3    0.000    0.000    2.604    0.868 backend_bases.py:2081(print_figure)
        3    0.000    0.000    2.580    0.860 backend_agg.py:526(print_png)
       84    0.002    0.000    2.539    0.030 axis.py:1098(draw)
        3    0.485    0.162    2.150    0.717 npyio.py:682(loadtxt)
      553    0.008    0.000    1.881    0.003 backend_agg.py:214(get_text_width_height_descent)
      553    0.005    0.000    1.867    0.003 texmanager.py:648(get_text_width_height_descent)
      621    0.001    0.000    1.821    0.003 {next}
     1106    0.001    0.000    1.821    0.002 dviread.py:74(__iter__)
  556/553    0.014    0.000    1.805    0.003 dviread.py:143(_read)
12921/12077    0.024    0.000    1.784    0.000 dviread.py:170(_dispatch)
      435    0.012    0.000    1.759    0.004 text.py:328(_get_layout)
  889/883    0.004    0.000    1.573    0.002 dviread.py:386(_fnt_def)
1778/1766    0.001    0.000    1.506    0.001 dviread.py:881(_fontfile)
       20    0.002    0.000    1.469    0.073 dviread.py:840(find_tex_file)
